iter	Passed	Remaining
0	137	20476
1	139	10296
2	140	6904
3	142	5208
4	144	4188
5	146	3506
6	147	3018
7	149	2656
8	151	2381
9	153	2150
10	155	1959
11	156	1800
12	158	1666
13	159	1550
14	161	1450
15	162	1363
16	164	1285
17	166	1218
18	167	1157
19	169	1101
20	171	1051
21	172	1004
22	174	961
23	175	922
24	177	886
25	178	852
26	180	821
27	181	792
28	183	766
29	185	742
30	187	718
31	188	695
32	190	674
33	191	654
34	193	635
35	194	617
36	196	599
37	198	586
38	200	571
39	202	556
40	203	541
41	205	528
42	206	514
43	208	502
44	210	490
45	211	478
46	213	467
47	215	457
48	216	447
49	218	437
50	220	427
51	221	417
52	223	408
53	224	399
54	226	391
55	228	382
56	229	374
57	231	367
58	233	359
59	235	352
60	236	345
61	238	337
62	239	330
63	241	324
64	242	317
65	244	310
66	246	305
67	248	299
68	250	293
69	251	287
70	253	281
71	254	275
72	256	270
73	257	264
74	259	259
75	261	254
76	263	249
77	265	244
78	266	239
79	268	234
80	269	229
81	271	224
82	272	220
83	274	215
84	275	210
85	277	206
86	280	203
87	282	198
88	283	194
89	285	190
90	286	186
91	288	181
92	289	177
93	291	173
94	293	169
95	294	165
96	296	162
97	298	158
98	299	154
99	301	150
100	302	146
101	304	143
102	305	139
103	307	136
104	309	132
105	310	129
106	312	125
107	314	122
108	315	118
109	317	115
110	318	112
111	320	108
112	321	105
113	323	102
114	325	98
115	327	95
116	329	92
117	330	89
118	332	86
119	334	83
120	336	80
121	337	77
122	339	74
123	341	71
124	343	68
125	345	65
126	346	62
127	348	59
128	350	56
129	351	54
130	353	51
131	354	48
132	356	45
133	358	42
134	360	40
135	362	37
136	363	34
137	365	31
138	367	29
139	368	26
140	370	23
141	371	20
142	373	18
143	375	15
144	377	13
145	378	10
146	380	7
147	381	5
148	383	2
149	385	0
